img,class,conf,class-name,read,run,write
586,0;58,0.92;0.56,person;potted plant,0.006,0.031,0.012
587,0,0.92,person,0.006,0.031,0.011
588,0,0.92,person,0.005,0.030,0.010
589,0,0.93,person,0.006,0.030,0.010
59,0,0.83,person,0.006,0.029,0.011
590,0,0.93,person,0.006,0.030,0.011
591,0,0.93,person,0.006,0.031,0.011
592,0,0.92,person,0.006,0.030,0.011
593,0,0.89,person,0.005,0.030,0.010
594,0,0.92,person,0.006,0.029,0.011
595,0,0.94,person,0.006,0.031,0.011
596,0,0.89,person,0.005,0.030,0.010
597,0,0.95,person,0.006,0.030,0.011
598,0,0.94,person,0.006,0.030,0.011
599,0;58,0.89;0.56,person;potted plant,0.007,0.029,0.012
6,0,0.93,person,0.006,0.030,0.011
60,0,0.92,person,0.006,0.030,0.011
600,0;7,0.93;0.79,person;truck,0.006,0.031,0.011
601,0,0.94,person,0.006,0.030,0.011
602,0;7,0.91;0.87,person;truck,0.005,0.030,0.011
603,0,0.95,person,0.006,0.029,0.011
604,0,0.93,person,0.006,0.030,0.011
605,0,0.93,person,0.006,0.030,0.011
606,0,0.92,person,0.006,0.030,0.010
607,0,0.92,person,0.005,0.030,0.010
608,0,0.91,person,0.006,0.030,0.011
609,0,0.92,person,0.006,0.030,0.011
61,0;2,0.93;0.91,person;car,0.006,0.030,0.011
610,0,0.93,person,0.006,0.030,0.011
611,0,0.89,person,0.006,0.030,0.010
612,0,0.94,person,0.006,0.030,0.011
613,0,0.94,person,0.006,0.030,0.011
614,0,0.93,person,0.006,0.030,0.010
615,0,0.91,person,0.006,0.031,0.011
616,0,0.92,person,0.006,0.030,0.010
617,0,0.93,person,0.006,0.029,0.011
618,0,0.92,person,0.006,0.030,0.011
619,0,0.94,person,0.006,0.032,0.011
62,0;2,0.86;0.66,person;car,0.005,0.031,0.010
620,0,0.93,person,0.006,0.030,0.011
621,2;0,0.93;0.93,car;person,0.006,0.030,0.011
622,0,0.91,person,0.006,0.030,0.011
623,0;13,0.93;0.55,person;bench,0.006,0.030,0.011
624,0,0.93,person,0.005,0.030,0.010
625,0,0.93,person,0.006,0.030,0.011
626,0,0.89,person,0.005,0.030,0.010
627,0,0.89,person,0.006,0.030,0.010
628,0;2,0.92;0.75,person;car,0.006,0.030,0.011
629,0,0.93,person,0.006,0.030,0.010
63,0,0.94,person,0.006,0.030,0.011
630,0,0.94,person,0.006,0.029,0.011
631,0,0.93,person,0.006,0.030,0.011
632,0,0.93,person,0.006,0.030,0.010
633,0,0.91,person,0.006,0.030,0.011
634,0,0.94,person,0.006,0.029,0.010
635,0,0.94,person,0.006,0.030,0.011
636,0;2,0.92;0.72,person;car,0.006,0.031,0.011
637,0,0.92,person,0.006,0.030,0.011
638,0,0.92,person,0.006,0.030,0.011
639,0;13,0.92;0.71,person;bench,0.006,0.029,0.011
64,0,0.94,person,0.006,0.029,0.011
640,0;58,0.91;0.62,person;potted plant,0.006,0.030,0.012
641,0,0.89,person,0.006,0.030,0.011
642,0,0.91,person,0.006,0.030,0.011
643,0,0.93,person,0.006,0.029,0.011
644,0,0.90,person,0.006,0.029,0.011
645,0,0.89,person,0.006,0.031,0.010
646,0,0.93,person,0.006,0.030,0.011
647,0,0.94,person,0.006,0.030,0.011
648,0,0.94,person,0.006,0.029,0.010
649,0,0.94,person,0.005,0.030,0.010
65,0;13,0.91;0.64,person;bench,0.006,0.031,0.011
650,0;2,0.90;0.78,person;car,0.006,0.030,0.011
651,0,0.92,person,0.006,0.030,0.010
652,0,0.91,person,0.006,0.030,0.010
653,0,0.75,person,0.005,0.030,0.010
654,0,0.92,person,0.006,0.030,0.011
655,0;0,0.93;0.55,person;person,0.006,0.030,0.011
656,0,0.94,person,0.006,0.029,0.011
657,0,0.72,person,0.006,0.031,0.011
658,0,0.91,person,0.006,0.031,0.011
659,0,0.94,person,0.006,0.030,0.011
66,0,0.92,person,0.006,0.030,0.011
660,0,0.93,person,0.006,0.029,0.011
661,0,0.94,person,0.006,0.029,0.011
662,0,0.89,person,0.006,0.031,0.011
663,0;24,0.93;0.71,person;backpack,0.006,0.030,0.012
664,0,0.93,person,0.006,0.030,0.011
665,0,0.93,person,0.006,0.030,0.011
666,0;7,0.88;0.81,person;truck,0.005,0.029,0.011
667,0;7,0.93;0.75,person;truck,0.006,0.031,0.011
668,5;0;0;0;29;0,0.94;0.94;0.93;0.90;0.74;0.57,bus;person;person;person;frisbee;person,0.009,0.031,0.016
669,0,0.93,person,0.006,0.030,0.011
67,0;7,0.93;0.88,person;truck,0.006,0.030,0.011
670,0,0.93,person,0.006,0.031,0.010
671,0,0.93,person,0.006,0.030,0.011
672,0,0.89,person,0.006,0.029,0.010
673,0,0.92,person,0.006,0.031,0.011
674,0,0.93,person,0.006,0.030,0.011
675,0,0.94,person,0.006,0.030,0.011
676,0,0.92,person,0.006,0.030,0.011
677,0,0.93,person,0.006,0.029,0.010
678,0,0.94,person,0.006,0.030,0.011
679,0,0.92,person,0.005,0.030,0.010
68,0,0.90,person,0.006,0.030,0.010
680,0,0.90,person,0.006,0.030,0.011
681,0,0.91,person,0.006,0.029,0.011
682,0,0.93,person,0.006,0.031,0.011
683,0,0.93,person,0.006,0.030,0.011
684,0,0.91,person,0.006,0.030,0.010
685,0,0.92,person,0.006,0.030,0.011
686,0,0.90,person,0.006,0.029,0.011
687,0,0.91,person,0.006,0.031,0.011
688,0,0.93,person,0.006,0.031,0.010
689,0,0.82,person,0.005,0.030,0.010
69,0,0.93,person,0.006,0.030,0.011
690,0;2,0.91;0.70,person;car,0.006,0.030,0.011
691,0;13,0.95;0.54,person;bench,0.006,0.030,0.011
692,0,0.93,person,0.006,0.031,0.010
693,0,0.94,person,0.006,0.030,0.010
694,0,0.94,person,0.006,0.029,0.011
695,0,0.92,person,0.006,0.030,0.011
696,0,0.94,person,0.006,0.030,0.011
697,0;13,0.94;0.78,person;bench,0.006,0.031,0.011
698,0,0.93,person,0.006,0.030,0.011
699,0,0.94,person,0.006,0.029,0.011
7,0;2,0.92;0.92,person;car,0.006,0.030,0.011
70,0,0.94,person,0.006,0.030,0.011
700,0,0.91,person,0.006,0.031,0.011
701,0,0.93,person,0.006,0.030,0.011
702,0;7,0.93;0.78,person;truck,0.006,0.029,0.011
703,0,0.94,person,0.006,0.030,0.012
704,0,0.94,person,0.006,0.031,0.011
705,0,0.93,person,0.006,0.030,0.011
706,0,0.94,person,0.006,0.030,0.011
707,0;7,0.92;0.85,person;truck,0.006,0.031,0.011
708,0,0.93,person,0.006,0.029,0.011
709,0,0.94,person,0.006,0.030,0.011
71,0,0.90,person,0.005,0.030,0.010
710,0;7;0;3,0.93;0.82;0.56;0.55,person;truck;person;motorcycle,0.006,0.030,0.011
711,0,0.94,person,0.006,0.030,0.011
712,0,0.92,person,0.006,0.031,0.011
713,0,0.91,person,0.006,0.029,0.011
714,0;13,0.90;0.65,person;bench,0.006,0.031,0.011
715,0,0.94,person,0.006,0.030,0.011
716,0,0.93,person,0.006,0.030,0.011
717,0,0.93,person,0.006,0.030,0.011
718,0;13,0.90;0.77,person;bench,0.006,0.029,0.011
719,0,0.92,person,0.006,0.030,0.011
72,0,0.93,person,0.006,0.030,0.011
720,0,0.93,person,0.006,0.030,0.011
721,0,0.91,person,0.006,0.030,0.011
722,0,0.94,person,0.006,0.029,0.011
723,0,0.93,person,0.006,0.030,0.011
724,0;13,0.88;0.61,person;bench,0.006,0.031,0.011
725,0,0.90,person,0.006,0.030,0.011
726,0,0.94,person,0.006,0.030,0.011
727,7;0,0.94;0.92,truck;person,0.006,0.029,0.011
728,0,0.85,person,0.005,0.030,0.010
729,0,0.94,person,0.006,0.030,0.011
73,0;7,0.93;0.91,person;truck,0.006,0.031,0.011
730,0,0.91,person,0.006,0.030,0.011
731,0;13,0.93;0.65,person;bench,0.006,0.029,0.011
732,0,0.92,person,0.005,0.030,0.010
733,0;13,0.93;0.58,person;bench,0.006,0.030,0.012
734,0;7,0.92;0.88,person;truck,0.006,0.030,0.011
735,0;2,0.93;0.78,person;car,0.006,0.030,0.011
736,0,0.92,person,0.006,0.029,0.010
737,0,0.94,person,0.006,0.030,0.011
738,0,0.93,person,0.006,0.030,0.011
739,0,0.94,person,0.006,0.030,0.011
74,0,0.92,person,0.006,0.030,0.011
740,0,0.92,person,0.005,0.029,0.010
741,0;7,0.93;0.87,person;truck,0.006,0.031,0.011
742,0,0.87,person,0.006,0.030,0.011
743,0;10,0.92;0.54,person;fire hydrant,0.006,0.030,0.011
744,0,0.94,person,0.006,0.030,0.011
745,0,0.94,person,0.006,0.029,0.010
746,2;0,0.93;0.93,car;person,0.006,0.031,0.011
747,0,0.93,person,0.006,0.030,0.011
748,0,0.93,person,0.006,0.030,0.011
749,0,0.93,person,0.006,0.030,0.010
75,0;13,0.91;0.77,person;bench,0.006,0.029,0.011
750,0,0.94,person,0.006,0.031,0.011
751,0,0.94,person,0.006,0.031,0.011
752,0,0.93,person,0.006,0.030,0.011
753,0,0.92,person,0.006,0.030,0.010
754,0;58,0.91;0.63,person;potted plant,0.006,0.029,0.012
